task_id,old_image_path,new_image_path
hload_220,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_07.jpg,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_18.jpg
pdef_063,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_12.jpg,dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_14.jpg
pdef_065,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_13.jpg,dataset/images/precision_defect_gen/pdef_flange_seal_micro_leak/ref_01.jpg
pdef_145,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_19.jpg,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_12.jpg
pdef_216,dataset/images/precision_defect_gen/pdef_tube_bundle_endoscopy/ref_10.jpg,dataset/images/precision_defect_gen/pdef_tube_bundle_endoscopy/ref_12.jpg
vsec_111,dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_08.jpg,dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_09.jpg
vsec_193,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_16.jpg,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_09.jpg
emerg_133,dataset/images/extreme_emergency/emerg_cooling_tower_plume_failure/ref_21.jpg,dataset/images/extreme_emergency/emerg_cooling_tower_plume_failure/ref_24.jpg
emerg_002,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_03.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_08.jpg
emerg_212,dataset/images/extreme_emergency/emerg_storage_tank_flash_fire/ref_19.jpg,dataset/images/extreme_emergency/emerg_storage_tank_flash_fire/ref_08.jpg
