task_id,old_technical_score,new_headline_score,delta,reasoning_score,deduplicated_penalty
emerg_002,72.0,69.14699999999999,-2.8530000000000086,70.0,0.0
emerg_004,85.0,83.57625,-1.4237499999999983,66.5,0.0
emerg_012,80.0,78.64,-1.3599999999999994,66.0,0.0
emerg_021,76.0,75.33609999999999,-0.6639000000000124,67.0,0.0
emerg_022,76.0,75.18289999999999,-0.8171000000000106,63.0,0.0
emerg_023,76.0,75.52759999999999,-0.4724000000000075,72.0,0.0
emerg_025,68.0,66.03179999999999,-1.9682000000000102,77.0,0.0
emerg_028,66.0,63.89564999999999,-2.104350000000011,63.0,0.0
emerg_029,76.0,75.18289999999999,-0.8171000000000106,63.0,0.0
emerg_046,20.0,16.694,-3.306000000000001,64.0,0.0
emerg_052,84.0,79.19399999999999,-4.806000000000012,70.0,0.0
emerg_054,80.0,77.04775,-2.9522500000000065,63.0,0.0
emerg_056,60.0,50.031,-9.969000000000001,62.0,0.0
emerg_064,84.0,81.85709999999999,-2.1429000000000116,63.0,0.0
emerg_086,72.0,63.33329999999999,-8.666700000000013,73.0,0.0
emerg_091,76.0,75.33609999999999,-0.6639000000000124,67.0,0.0
emerg_092,44.0,40.2384,-3.7616000000000014,92.0,0.0
emerg_093,80.0,78.44,-1.5600000000000023,61.0,0.0
emerg_094,74.0,72.4091,-1.5909000000000049,73.0,0.0
emerg_228,80.0,78.88,-1.1200000000000045,72.0,0.0
emerg_231,74.0,72.1889,-1.8110999999999962,67.0,0.0
emerg_232,80.0,78.32,-1.6800000000000068,58.0,0.0
emerg_234,80.0,78.11999999999999,-1.8800000000000097,53.0,0.0
emerg_236,80.0,78.6,-1.4000000000000057,65.0,0.0
emerg_280,68.0,65.6644,-2.3355999999999995,66.0,0.0
emerg_294,74.0,70.85745,-3.14255,71.0,0.0
emerg_298,74.0,70.6058,-3.394199999999998,64.0,0.0
emerg_302,74.0,70.7496,-3.250399999999999,68.0,0.0
emerg_324,88.0,82.4173,-5.582700000000003,67.0,0.0
emerg_327,74.0,71.932,-2.067999999999998,60.0,0.0
emerg_328,88.0,82.7944,-5.205600000000004,76.0,0.0
emerg_329,80.0,77.20474999999999,-2.79525000000001,67.0,0.0
emerg_333,64.0,62.353899999999996,-1.6461000000000041,67.0,0.0
erob_002,70.0,66.1625,-3.8375000000000057,75.0,0.0
erob_004,80.0,78.32,-1.6800000000000068,58.0,0.0
erob_024,100.0,98.1,-1.9000000000000057,62.0,0.0
erob_026,100.0,97.55,-2.450000000000003,51.0,0.0
erob_027,68.0,60.0096,-7.990400000000001,74.0,0.0
erob_031,0.0,0.0,0.0,64.0,0.0
erob_032,8.0,6.7558,-1.2442000000000002,87.0,0.0
erob_033,74.0,70.56985,-3.4301499999999976,63.0,0.0
erob_034,100.0,98.05,-1.9500000000000028,61.0,0.0
erob_035,76.0,74.68499999999999,-1.315000000000012,50.0,0.0
erob_037,72.0,69.14699999999999,-2.8530000000000086,70.0,0.0
erob_041,70.0,65.8275,-4.172499999999999,65.0,0.0
erob_044,68.0,66.14869999999999,-1.851300000000009,80.5,0.0
erob_045,76.0,75.71909999999998,-0.2809000000000168,77.0,0.0
erob_046,68.0,60.10079999999999,-7.8992000000000075,77.0,0.0
erob_062,80.0,78.11999999999999,-1.8800000000000097,53.0,0.0
erob_063,88.0,85.62819999999999,-2.3718000000000075,73.0,0.0
erob_064,88.0,85.5848,-2.4151999999999987,72.0,0.0
erob_066,56.0,49.9169,-6.083100000000002,73.0,0.0
erob_072,76.0,75.48929999999999,-0.5107000000000141,71.0,0.0
erob_073,68.0,59.73599999999999,-8.26400000000001,65.0,0.0
erob_074,68.0,60.0096,-7.990400000000001,74.0,0.0
erob_075,68.0,60.03999999999999,-7.960000000000008,75.0,0.0
erob_076,68.0,60.0096,-7.990400000000001,74.0,0.0
erob_077,84.0,82.02389999999998,-1.9761000000000166,67.0,0.0
erob_082,84.0,81.8154,-2.184600000000003,62.0,0.0
erob_083,68.0,65.69779999999999,-2.3022000000000133,67.0,0.0
erob_084,70.0,67.36975,-2.6302500000000038,67.0,0.0
erob_086,84.0,73.43279999999999,-10.567200000000014,74.0,0.0
erob_094,88.0,82.87819999999999,-5.1218000000000075,78.0,0.0
erob_095,84.0,82.19069999999999,-1.8093000000000075,71.0,0.0
erob_099,74.0,70.85745,-3.14255,71.0,0.0
erob_100,74.0,70.87542499999999,-3.124575000000007,71.5,0.0
erob_140,84.0,82.02389999999998,-1.9761000000000166,67.0,0.0
erob_144,52.0,46.468399999999995,-5.5316000000000045,69.0,0.0
erob_170,80.0,79.03999999999999,-0.960000000000008,76.0,0.0
erob_174,44.0,39.672799999999995,-4.327200000000005,64.0,0.0
erob_177,80.0,78.67999999999999,-1.3200000000000074,67.0,0.0
erob_179,91.0,88.185375,-2.8146250000000066,57.5,0.0
erob_184,56.0,49.9422,-6.0578,74.0,0.0
erob_185,68.0,59.85759999999999,-8.14240000000001,69.0,0.0
erob_186,91.0,88.02091874999999,-2.9790812500000072,70.25,0.0
erob_187,32.0,29.731899999999996,-2.268100000000004,69.0,0.0
erob_189,32.0,29.656399999999998,-2.343600000000002,64.0,0.0
erob_190,56.0,49.9422,-6.0578,74.0,0.0
erob_193,92.0,88.0803,-3.919700000000006,53.0,0.0
erob_195,80.0,78.11999999999999,-1.8800000000000097,53.0,0.0
erob_210,68.0,59.97919999999999,-8.020800000000008,73.0,0.0
erob_211,72.0,68.98904999999999,-3.0109500000000082,65.5,0.0
erob_216,100.0,97.44999999999999,-2.5500000000000114,49.0,0.0
erob_222,100.0,97.3,-2.700000000000003,46.0,0.0
erob_259,80.0,78.67999999999999,-1.3200000000000074,67.0,0.0
erob_260,80.0,78.24,-1.7600000000000051,56.0,0.0
hload_115,60.0,50.464499999999994,-9.535500000000006,79.0,0.0
hload_121,74.0,71.00125,-2.998750000000001,75.0,0.0
hload_123,40.0,33.626,-6.374000000000002,78.0,0.0
hload_125,52.0,46.5864,-5.413600000000002,74.0,0.0
hload_126,80.0,77.92,-2.0799999999999983,48.0,0.0
hload_127,32.0,26.887199999999996,-5.112800000000004,77.0,0.0
hload_203,86.0,83.69585,-2.304150000000007,67.0,0.0
hload_213,85.0,83.4275,-1.5725000000000051,63.0,0.0
