task_id,old_technical_score,pre_gate_score,new_headline_score,delta,gate_cap,gate_reasons,reasoning_score,deduplicated_penalty
emerg_002,72.0,69.6,33.408,-38.592,,observable_event_coverage_gate; application_usefulness_gate,70.0,0.0
emerg_004,85.0,85.0,70.7625,-14.237499999999997,,observable_event_coverage_gate; application_usefulness_gate,66.5,0.0
emerg_012,80.0,80.0,57.6,-22.4,,observable_event_coverage_gate; application_usefulness_gate,66.0,0.0
emerg_021,76.0,76.80000000000001,55.296000000000014,-20.703999999999986,,observable_event_coverage_gate; application_usefulness_gate,67.0,0.0
emerg_022,76.0,76.80000000000001,55.296000000000014,-20.703999999999986,,observable_event_coverage_gate; application_usefulness_gate,63.0,0.0
emerg_023,76.0,76.80000000000001,55.296000000000014,-20.703999999999986,,observable_event_coverage_gate; application_usefulness_gate,72.0,0.0
emerg_025,68.0,66.4,42.49600000000001,-25.50399999999999,,observable_event_coverage_gate; application_usefulness_gate,77.0,0.0
emerg_028,66.0,64.80000000000001,41.47200000000001,-24.52799999999999,,observable_event_coverage_gate; application_usefulness_gate,63.0,0.0
emerg_029,76.0,76.80000000000001,55.296000000000014,-20.703999999999986,,observable_event_coverage_gate; application_usefulness_gate,63.0,0.0
emerg_046,20.0,16.0,0.0,-20.0,30.0,observable_event_coverage_gate; zero_observable_event_coverage; application_usefulness_gate,64.0,0.0
emerg_052,84.0,79.2,38.016000000000005,-45.983999999999995,,observable_event_coverage_gate; application_usefulness_gate,70.0,0.0
emerg_054,80.0,78.0,53.040000000000006,-26.959999999999994,,observable_event_coverage_gate; application_usefulness_gate,63.0,0.0
emerg_056,60.0,48.0,0.0,-60.0,30.0,observable_event_coverage_gate; zero_observable_event_coverage; application_usefulness_gate,62.0,0.0
emerg_064,84.0,83.2,59.904,-24.095999999999997,,observable_event_coverage_gate; application_usefulness_gate,63.0,0.0
emerg_086,72.0,61.6,7.3919999999999995,-64.608,60.0,observable_event_coverage_gate; partial_observable_event_coverage; application_usefulness_gate,73.0,0.0
emerg_091,76.0,76.80000000000001,55.296000000000014,-20.703999999999986,,observable_event_coverage_gate; application_usefulness_gate,67.0,0.0
emerg_092,44.0,39.2,4.704000000000001,-39.296,60.0,observable_event_coverage_gate; partial_observable_event_coverage; application_usefulness_gate,92.0,0.0
emerg_093,80.0,80.0,57.6,-22.4,,observable_event_coverage_gate; application_usefulness_gate,61.0,0.0
emerg_094,74.0,73.2,49.776,-24.223999999999997,,observable_event_coverage_gate; application_usefulness_gate,73.0,0.0
emerg_228,80.0,80.0,57.6,-22.4,,observable_event_coverage_gate; application_usefulness_gate,72.0,0.0
emerg_231,74.0,73.2,37.332,-36.668,,observable_event_coverage_gate; application_usefulness_gate,67.0,0.0
emerg_232,80.0,80.0,57.6,-22.4,,observable_event_coverage_gate; application_usefulness_gate,58.0,0.0
emerg_234,80.0,80.0,57.6,-22.4,,observable_event_coverage_gate; application_usefulness_gate,53.0,0.0
emerg_236,80.0,80.0,57.6,-22.4,,observable_event_coverage_gate; application_usefulness_gate,65.0,0.0
emerg_280,68.0,66.4,31.872000000000003,-36.128,,observable_event_coverage_gate; application_usefulness_gate,66.0,0.0
emerg_294,74.0,71.2,34.176,-39.824,,observable_event_coverage_gate; application_usefulness_gate,71.0,0.0
emerg_298,74.0,71.2,34.176,-39.824,,observable_event_coverage_gate; application_usefulness_gate,64.0,0.0
emerg_302,74.0,71.2,45.56800000000001,-28.431999999999988,,observable_event_coverage_gate; application_usefulness_gate,68.0,0.0
emerg_324,88.0,82.4,39.55200000000001,-48.44799999999999,,observable_event_coverage_gate; application_usefulness_gate,67.0,0.0
emerg_327,74.0,73.2,49.776,-24.223999999999997,,observable_event_coverage_gate; application_usefulness_gate,60.0,0.0
emerg_328,88.0,82.4,39.55200000000001,-48.44799999999999,,observable_event_coverage_gate; application_usefulness_gate,76.0,0.0
emerg_329,80.0,78.0,53.040000000000006,-26.959999999999994,,observable_event_coverage_gate; application_usefulness_gate,67.0,0.0
emerg_333,64.0,63.2,30.336000000000002,-33.664,,observable_event_coverage_gate; application_usefulness_gate,67.0,0.0
erob_002,70.0,66.0,29.700000000000003,-40.3,,observable_event_coverage_gate; application_usefulness_gate,75.0,0.0
erob_004,80.0,80.0,57.6,-22.4,,observable_event_coverage_gate; application_usefulness_gate,58.0,0.0
erob_024,100.0,100.0,100.0,0.0,,,62.0,0.0
erob_026,100.0,100.0,100.0,0.0,,,51.0,0.0
