task_id,domain,scene_id,old_image_path,old_width,old_height,old_short_side,new_image_path,new_width,new_height,new_short_side,strategy
emerg_021,extreme_emergency,emerg_transmission_tower_icing_collapse,dataset/images/extreme_emergency/emerg_transmission_tower_icing_collapse/ref_01.jpg,382,270,270,dataset/images/extreme_emergency/emerg_transmission_tower_icing_collapse/ref_12.jpg,1280,1925,1280,same_scene
emerg_022,extreme_emergency,emerg_transmission_tower_icing_collapse,dataset/images/extreme_emergency/emerg_transmission_tower_icing_collapse/ref_02.jpg,252,270,252,dataset/images/extreme_emergency/emerg_transmission_tower_icing_collapse/ref_11.jpg,1280,961,961,same_scene
emerg_023,extreme_emergency,emerg_transmission_tower_icing_collapse,dataset/images/extreme_emergency/emerg_transmission_tower_icing_collapse/ref_03.jpg,309,270,270,dataset/images/extreme_emergency/emerg_transmission_tower_icing_collapse/ref_14.jpg,1280,853,853,same_scene
emerg_025,extreme_emergency,emerg_transmission_tower_icing_collapse,dataset/images/extreme_emergency/emerg_transmission_tower_icing_collapse/ref_05.jpg,468,266,266,dataset/images/extreme_emergency/emerg_transmission_tower_icing_collapse/ref_15.jpg,1280,853,853,same_scene
emerg_031,extreme_emergency,emerg_dust_explosion_confined_space,dataset/images/extreme_emergency/emerg_dust_explosion_confined_space/ref_01.jpg,378,283,283,dataset/images/extreme_emergency/emerg_dust_explosion_confined_space/ref_14.jpg,1280,1345,1280,same_scene
emerg_032,extreme_emergency,emerg_dust_explosion_confined_space,dataset/images/extreme_emergency/emerg_dust_explosion_confined_space/ref_02.jpg,375,270,270,dataset/images/extreme_emergency/emerg_dust_explosion_confined_space/ref_08.jpg,1920,1080,1080,same_scene
emerg_033,extreme_emergency,emerg_dust_explosion_confined_space,dataset/images/extreme_emergency/emerg_dust_explosion_confined_space/ref_03.jpg,373,280,280,dataset/images/extreme_emergency/emerg_dust_explosion_confined_space/ref_18.jpg,1280,960,960,same_scene
emerg_051,extreme_emergency,emerg_battery_thermal_runaway,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_01.jpg,475,275,275,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_26.jpg,1024,913,913,same_scene
emerg_052,extreme_emergency,emerg_battery_thermal_runaway,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_02.jpg,373,280,280,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_12.jpg,1024,793,793,same_scene
emerg_053,extreme_emergency,emerg_battery_thermal_runaway,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_03.jpg,435,266,266,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_14.jpg,1280,721,721,same_scene
emerg_054,extreme_emergency,emerg_battery_thermal_runaway,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_04.jpg,207,270,207,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_13.jpg,1280,720,720,same_scene
emerg_055,extreme_emergency,emerg_battery_thermal_runaway,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_05.jpg,429,266,266,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_16.jpg,1280,720,720,same_scene
emerg_056,extreme_emergency,emerg_battery_thermal_runaway,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_06.jpg,459,266,266,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_22.jpg,1280,720,720,same_scene
emerg_057,extreme_emergency,emerg_battery_thermal_runaway,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_07.jpg,442,266,266,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_09.jpg,1024,683,683,same_scene
emerg_062,extreme_emergency,emerg_tunnel_fire_smoke_layering,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_02.jpg,367,276,276,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_01.jpg,1920,1440,1440,same_scene
emerg_063,extreme_emergency,emerg_tunnel_fire_smoke_layering,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_03.jpg,439,270,270,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_11.jpg,1280,960,960,same_scene
emerg_064,extreme_emergency,emerg_tunnel_fire_smoke_layering,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_04.jpg,358,270,270,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_22.jpg,1280,960,960,same_scene
emerg_065,extreme_emergency,emerg_tunnel_fire_smoke_layering,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_05.jpg,255,274,255,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_21.jpg,1280,909,909,same_scene
emerg_066,extreme_emergency,emerg_tunnel_fire_smoke_layering,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_06.jpg,385,270,270,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_19.jpg,1280,854,854,same_scene
emerg_270,extreme_emergency,emerg_hot_work_spark_combustible_fire,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_04.jpg,378,283,283,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_12.jpg,3056,3056,3056,same_scene
erob_021,embodied_robotics,erob_tracked_robot_rubble,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_01.jpg,474,284,284,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_16.jpg,1280,2060,1280,same_scene
erob_024,embodied_robotics,erob_tracked_robot_rubble,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_10.jpg,367,266,266,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_17.jpg,1280,1024,1024,same_scene
erob_025,embodied_robotics,erob_tracked_robot_rubble,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_11.jpg,370,266,266,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_04.jpg,1280,960,960,same_scene
erob_026,embodied_robotics,erob_tracked_robot_rubble,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_12.jpg,316,270,270,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_05.jpg,1280,960,960,same_scene
erob_027,embodied_robotics,erob_tracked_robot_rubble,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_13.jpg,465,266,266,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_15.jpg,1280,960,960,same_scene
erob_028,embodied_robotics,erob_tracked_robot_rubble,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_14.jpg,372,279,279,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_18.jpg,1280,960,960,same_scene
