image_path,near_duplicate_of
dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_01.jpg,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_16.jpg
dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_01.jpg,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_16.jpg
dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_11.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_01.jpg
dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_12.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_15.jpg
dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_13.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_16.jpg
dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_14.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_17.jpg
dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_15.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_09.jpg
dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_17.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_12.jpg
dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_18.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_13.jpg
dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_19.jpg,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_08.jpg
dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_01.jpg,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_13.jpg
dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_16.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_10.jpg
dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_17.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_11.jpg
dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_02.jpg,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_16.jpg
dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_03.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_02.jpg
dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_04.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_03.jpg
dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_05.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_04.jpg
dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_06.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_15.jpg
dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_07.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_16.jpg
dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_08.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_17.jpg
dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_01.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_15.jpg
dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_02.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_16.jpg
dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_03.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_17.jpg
dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_05.jpg,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_16.jpg
dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_08.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_09.jpg
dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_09.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_01.jpg
dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_10.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_02.jpg
dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_11.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_03.jpg
dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_03.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_01.jpg
dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_04.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_15.jpg
dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_05.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_16.jpg
dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_06.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_17.jpg
dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_07.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_09.jpg
dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_08.jpg,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_16.jpg
dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_01.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_10.jpg
dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_02.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_11.jpg
dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_10.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_01.jpg
dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_11.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_02.jpg
dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_12.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_03.jpg
dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_13.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_04.jpg
dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_14.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_05.jpg
dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_04.jpg,dataset/images/extreme_emergency/emerg_dust_explosion_confined_space/ref_01.jpg
dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_31.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_01.jpg
dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_32.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_02.jpg
dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_33.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_17.jpg
dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_34.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_14.jpg
dataset/images/extreme_emergency/emerg_storage_tank_flash_fire/ref_26.jpg,dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_01.jpg
dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_01.jpg,dataset/images/extreme_emergency/emerg_smoke_evacuation_route_visibility/ref_11.jpg
dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_01.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_21.jpg
dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_02.png,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_22.png
dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_03.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_23.jpg
dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_04.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_24.jpg
dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_48.jpg,dataset/images/extreme_emergency/emerg_crane_load_drop_evacuation/ref_03.jpg
dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_01.jpg,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_05.jpg
dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_16.jpg,dataset/images/extreme_emergency/emerg_crane_load_drop_evacuation/ref_24.jpg
dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_18.png,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_01.png
dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_01.jpg,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_01.jpg
dataset/images/heavy_load_construction/hload_tunnel_pipe_burst_mud_surge/ref_11.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_17.jpg
dataset/images/heavy_load_construction/hload_tunnel_pipe_burst_mud_surge/ref_12.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_18.jpg
dataset/images/heavy_load_construction/hload_tunnel_pipe_burst_mud_surge/ref_13.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_19.jpg
dataset/images/heavy_load_construction/hload_wire_rope_overload_snap/ref_14.jpg,dataset/images/extreme_emergency/emerg_crane_load_drop_evacuation/ref_24.jpg
dataset/images/heavy_load_construction/hload_wire_rope_overload_snap/ref_15.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_02.jpg
dataset/images/heavy_load_construction/hload_wire_rope_overload_snap/ref_16.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_17.jpg
dataset/images/heavy_load_construction/hload_wire_rope_overload_snap/ref_17.png,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_01.png
dataset/images/precision_defect_gen/pdef_cutting_fluid_spray/ref_16.jpg,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_01.jpg
dataset/images/precision_defect_gen/pdef_cutting_fluid_spray/ref_17.jpg,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_02.jpg
dataset/images/precision_defect_gen/pdef_cutting_fluid_spray/ref_18.jpg,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_03.jpg
dataset/images/precision_defect_gen/pdef_flange_seal_micro_leak/ref_16.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_01.jpg
dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_17.jpg,dataset/images/precision_defect_gen/pdef_cutting_fluid_spray/ref_01.jpg
dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_18.jpg,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_01.jpg
dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_19.jpg,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_02.jpg
dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_01.jpg,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_14.jpg
dataset/images/precision_defect_gen/pdef_tube_bundle_endoscopy/ref_01.jpg,dataset/images/precision_defect_gen/pdef_engine_endoscope_crack/ref_10.jpg
