task_id,old_image_path,new_image_path,removed_old_source
erob_031,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_07.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_11.jpg,False
erob_024,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_17.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_06.jpg,False
emerg_308,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_11.jpg,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_13.jpg,True
emerg_323,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_03.jpg,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_12.jpg,True
hload_267,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_33.jpg,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_20.jpg,True
hload_235,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_16.jpg,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_05.jpg,True
hload_226,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_14.jpg,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_03.jpg,True
hload_236,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_15.jpg,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_09.jpg,True
hload_120,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_08.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_01.jpg,True
hload_277,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_10.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_02.jpg,True
hload_217,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_03.jpg,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_10.jpg,True
hload_218,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_04.jpg,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_12.jpg,True
hload_227,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_05.jpg,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_02.jpg,True
hload_228,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_06.jpg,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_14.jpg,True
hload_230,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_08.jpg,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_02.jpg,True
hload_231,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_09.jpg,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_11.jpg,True
hload_233,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_11.jpg,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_13.jpg,True
hload_242,dataset/images/heavy_load_construction/hload_tunnel_pipe_burst_mud_surge/ref_16.jpg,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_16.jpg,True
hload_281,dataset/images/heavy_load_construction/hload_wire_rope_overload_snap/ref_09.jpg,dataset/images/heavy_load_construction/hload_wire_rope_overload_snap/ref_02.jpg,True
pdef_031,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_01.jpg,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_03.jpg,True
pdef_053,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_05.jpg,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_09.jpg,False
pdef_054,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_06.jpg,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_16.jpg,False
pdef_056,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_07.jpg,dataset/images/precision_defect_gen/pdef_flange_seal_micro_leak/ref_16.jpg,False
pdef_057,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_11.jpg,dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_07.jpg,False
pdef_058,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_08.jpg,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_02.jpg,False
vsec_175,dataset/images/visual_security/vsec_conveyor_jam_loto_clearance/ref_03.jpg,dataset/images/visual_security/vsec_conveyor_jam_loto_clearance/ref_16.jpg,True
