status,reason,source_path,scene_id,domain,dest_path,task_id,scene_import_limit,width,height,short_side,pixels,laplacian_var,edge_density,background_edge_density,white_ratio,center_white_ratio,mean_saturation,skin_ratio,face_area_ratio,deleted
rejected,too_many_edges,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0001.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,,,5,1280,853,853,1091840,7289.71,0.3020,0.3217,0.0007,0.0014,79.54,0.0436,0.0000,false
rejected,too_many_edges,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0002.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,,,5,1280,719,719,920320,10603.00,0.2764,0.3016,0.0099,0.0147,89.61,0.1714,0.0000,false
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0003.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_12.jpg,erob_214,5,1280,1306,1280,1671680,458.38,0.0434,0.0294,0.0087,0.0172,52.43,0.0191,0.0000,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0004.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_13.jpg,erob_215,5,1280,1707,1280,2184960,2003.72,0.1820,0.1670,0.0061,0.0093,74.58,0.2906,0.0000,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0005.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_14.jpg,erob_216,5,1280,849,849,1086720,263.77,0.0127,0.0044,0.0002,0.0007,123.45,0.0143,0.0000,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0007.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_15.jpg,erob_217,5,1280,853,853,1091840,2459.45,0.1686,0.1900,0.0180,0.0531,57.81,0.1522,0.0000,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0008.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_16.jpg,erob_218,5,1280,853,853,1091840,2446.76,0.1915,0.2275,0.0058,0.0116,54.42,0.1308,0.0000,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0009.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,,,5,,,,,,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0019.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,,,5,,,,,,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0039.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,,,5,,,,,,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_quadruped_stairs_rubble_fpv__commons__0041.jpg,erob_quadruped_stairs_rubble_fpv,embodied_robotics,,,5,,,,,,,,,,,,,
