status,reason,source_path,scene_id,domain,dest_path,task_id,scene_import_limit,width,height,short_side,pixels,laplacian_var,edge_density,background_edge_density
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/emerg_hot_work_spark_combustible_fire__commons_category__0010.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_07.jpg,emerg_292,10,1280,853,853,1091840,850.18,0.0277,0.0024
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/emerg_hot_work_spark_combustible_fire__commons_category__0011.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_08.jpg,emerg_293,10,1280,720,720,921600,9040.61,0.1874,0.1848
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0101.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,dataset/images/extreme_emergency/emerg_smoke_evacuation_route_visibility/ref_12.jpg,emerg_294,5,1280,960,960,1228800,1967.07,0.1058,0.0567
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0102.png,emerg_smoke_evacuation_route_visibility,extreme_emergency,dataset/images/extreme_emergency/emerg_smoke_evacuation_route_visibility/ref_13.jpg,emerg_295,5,1280,772,772,988160,215.86,0.1397,0.2005
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0105.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,dataset/images/extreme_emergency/emerg_smoke_evacuation_route_visibility/ref_14.jpg,emerg_296,5,1280,880,880,1126400,359.24,0.0231,0.0003
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0106.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,dataset/images/extreme_emergency/emerg_smoke_evacuation_route_visibility/ref_15.jpg,emerg_297,5,1280,856,856,1095680,373.21,0.0446,0.0273
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_amr_charger_smoke_abort__commons_category__0023.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_08.jpg,erob_151,9,1280,852,852,1090560,815.76,0.1056,0.0768
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_amr_charger_smoke_abort__commons_category__0024.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_09.jpg,erob_152,9,1280,720,720,921600,5772.75,0.1469,0.1506
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_amr_charger_smoke_abort__commons_category__0026.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_10.jpg,erob_153,9,1280,720,720,921600,3732.94,0.1335,0.1437
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_amr_charger_smoke_abort__commons_category__0027.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_11.jpg,erob_154,9,1280,853,853,1091840,2544.46,0.1110,0.0942
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_amr_charger_smoke_abort__commons_category__0028.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_12.jpg,erob_155,9,1280,853,853,1091840,233.89,0.0377,0.0250
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_amr_charger_smoke_abort__commons_category__0029.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_13.jpg,erob_156,9,1280,813,813,1040640,4079.77,0.1104,0.1031
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_amr_charger_smoke_abort__commons_category__0031.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_14.jpg,erob_157,9,1280,941,941,1204480,1240.04,0.0765,0.0663
