status,reason,source_path,scene_id,domain,dest_path,task_id,scene_import_limit,width,height,short_side,pixels,laplacian_var,edge_density,background_edge_density,deleted
rejected,scene_deficit_filled,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0003__from_fast_multisource_20260604_124032_batch0.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,0,,,,,,,,
rejected,scene_deficit_filled,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0004__from_fast_multisource_20260604_124032_batch0.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,0,,,,,,,,
rejected,scene_deficit_filled,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0005.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,0,,,,,,,,
rejected,scene_deficit_filled,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0005__from_fast_multisource_20260602_183024.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,0,,,,,,,,
rejected,scene_deficit_filled,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0006.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,0,,,,,,,,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0023.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_08.jpg,erob_151,3,1280,2001,1280,2561280,106.55,0.0202,0.0130,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0025.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_08.jpg,erob_152,3,1280,2167,1280,2773760,182.39,0.0371,0.0118,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0026.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_08.jpg,erob_153,3,1280,1843,1280,2359040,287.46,0.0475,0.0020,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0027.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,3,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0029.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,3,,,,,,,,
