status,reason,source_path,scene_id,domain,dest_path,task_id,scene_import_limit,width,height,short_side,pixels,laplacian_var,edge_density,background_edge_density,deleted
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0003__from_fast_multisource_20260603_103649_batch0.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_06.jpg,emerg_291,1,1280,720,720,921600,2597.38,0.0987,0.0939,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0003__from_fast_multisource_20260604_124032_batch0.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0004__from_fast_multisource_20260604_124032_batch0.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0005.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0005__from_fast_multisource_20260602_183024.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0006.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0017.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_05.jpg,erob_145,3,1280,960,960,1228800,613.67,0.0455,0.0495,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0018.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_05.jpg,erob_146,3,1280,1209,1209,1547520,905.79,0.0250,0.0043,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0022.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_05.jpg,erob_147,3,1280,1658,1280,2122240,292.96,0.0448,0.0177,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0023.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,3,,,,,,,,
