task_id,old_image_path,new_image_path
emerg_054,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_12.jpg,dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_08.jpg
emerg_056,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_26.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_10.jpg
emerg_323,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_07.jpg,dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_09.jpg
hload_120,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_19.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_06.jpg
hload_217,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_10.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_41.jpg
hload_218,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_12.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_24.jpg
hload_227,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_02.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_10.jpg
hload_228,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_14.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_18.jpg
hload_230,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_07.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_11.jpg
hload_235,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_10.jpg,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_04.jpg
hload_242,dataset/images/heavy_load_construction/hload_tunnel_pipe_burst_mud_surge/ref_08.jpg,dataset/images/heavy_load_construction/hload_tunnel_pipe_burst_mud_surge/ref_10.jpg
hload_267,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_02.jpg,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_19.jpg
hload_277,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_05.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_17.jpg
vsec_157,dataset/images/visual_security/vsec_dangerous_goods_liquid_leak/ref_07.jpg,dataset/images/visual_security/vsec_dangerous_goods_liquid_leak/ref_04.jpg
vsec_193,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_08.jpg,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_16.jpg
