task_id,content_difficulty_level,content_difficulty_score,original_difficulty_level,domain,task_category,scene_id,motion_type,viewpoint_motion_target,content_difficulty_factors
emerg_001,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_flange_high_pressure_leak,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""precision_local_geometry"": 1.0, ""task_family"": 1.7}"
emerg_002,adversarial,6.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_flange_high_pressure_leak,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""precision_local_geometry"": 1.0, ""task_family"": 1.7}"
emerg_003,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_flange_high_pressure_leak,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""precision_local_geometry"": 1.0, ""task_family"": 1.7}"
emerg_004,adversarial,6.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_flange_high_pressure_leak,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""precision_local_geometry"": 1.0, ""task_family"": 1.7}"
emerg_011,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_storage_tank_flash_fire,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_012,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_storage_tank_flash_fire,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_021,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_transmission_tower_icing_collapse,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_022,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_transmission_tower_icing_collapse,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_023,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_transmission_tower_icing_collapse,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_025,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_transmission_tower_icing_collapse,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_028,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_transmission_tower_icing_collapse,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_029,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_transmission_tower_icing_collapse,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_032,medium,4.5,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_dust_explosion_confined_space,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_036,medium,4.5,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_dust_explosion_confined_space,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_041,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_reactor_runaway_pressure_release,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_046,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_reactor_runaway_pressure_release,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_051,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_battery_thermal_runaway,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_052,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_battery_thermal_runaway,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
