task_id,old_image_path,new_image_path,new_short_side,new_sharpness
emerg_054,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_13.jpg,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_12.jpg,793,974.5
emerg_056,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_22.jpg,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_26.jpg,913,300.5
emerg_308,dataset/images/extreme_emergency/emerg_battery_thermal_runaway/ref_13.jpg,dataset/images/extreme_emergency/emerg_dust_explosion_confined_space/ref_18.jpg,960,862.9
emerg_323,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_12.jpg,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_07.jpg,853,883.7
hload_267,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_20.jpg,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_02.jpg,960,2006.4
hload_235,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_05.jpg,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_10.jpg,902,1182.5
hload_226,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_03.jpg,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_11.jpg,683,2208.8
hload_236,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_09.jpg,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_12.jpg,683,2853.7
hload_120,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_01.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_19.jpg,959,2600.1
hload_277,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_02.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_05.jpg,1003,1191.4
hload_230,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_02.jpg,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_07.jpg,850,3801.1
hload_231,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_11.jpg,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_16.jpg,1280,121.2
hload_233,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_13.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_19.jpg,853,4038.4
hload_242,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_16.jpg,dataset/images/heavy_load_construction/hload_tunnel_pipe_burst_mud_surge/ref_08.jpg,683,6652.8
hload_281,dataset/images/heavy_load_construction/hload_wire_rope_overload_snap/ref_02.jpg,dataset/images/heavy_load_construction/hload_wire_rope_overload_snap/ref_16.jpg,720,1923.1
pdef_053,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_09.jpg,dataset/images/precision_defect_gen/pdef_cutting_fluid_spray/ref_21.jpg,1280,250.9
pdef_054,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_16.jpg,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_20.jpg,962,2237.0
pdef_056,dataset/images/precision_defect_gen/pdef_flange_seal_micro_leak/ref_16.jpg,dataset/images/precision_defect_gen/pdef_pcb_solder_bridge_short/ref_06.jpg,1165,565.2
pdef_057,dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_07.jpg,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_13.jpg,853,3018.4
pdef_058,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_02.jpg,dataset/images/precision_defect_gen/pdef_pcb_solder_bridge_short/ref_11.jpg,1200,583.5
vsec_175,dataset/images/visual_security/vsec_conveyor_jam_loto_clearance/ref_16.jpg,dataset/images/visual_security/vsec_conveyor_jam_loto_clearance/ref_09.jpg,854,2979.2
vsec_193,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_03.jpg,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_08.jpg,1200,307.3
