index,task_id,domain,scene_id,task_category,motion_type,source_image_path,exported_image_path
1,erob_105,embodied_robotics,erob_agv_rollup_door_interlock,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_16.jpg,reports/video_generation_500_images/001__erob_105__embodied_robotics__erob_agv_rollup_door_interlock__ref_16.jpg
2,erob_229,embodied_robotics,erob_agv_rollup_door_interlock,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_02.jpg,reports/video_generation_500_images/002__erob_229__embodied_robotics__erob_agv_rollup_door_interlock__ref_02.jpg
3,erob_230,embodied_robotics,erob_agv_rollup_door_interlock,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_03.jpg,reports/video_generation_500_images/003__erob_230__embodied_robotics__erob_agv_rollup_door_interlock__ref_03.jpg
4,erob_233,embodied_robotics,erob_agv_rollup_door_interlock,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_06.jpg,reports/video_generation_500_images/004__erob_233__embodied_robotics__erob_agv_rollup_door_interlock__ref_06.jpg
5,erob_234,embodied_robotics,erob_agv_rollup_door_interlock,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_07.jpg,reports/video_generation_500_images/005__erob_234__embodied_robotics__erob_agv_rollup_door_interlock__ref_07.jpg
6,erob_235,embodied_robotics,erob_agv_rollup_door_interlock,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_08.jpg,reports/video_generation_500_images/006__erob_235__embodied_robotics__erob_agv_rollup_door_interlock__ref_08.jpg
7,erob_237,embodied_robotics,erob_agv_rollup_door_interlock,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_10.jpg,reports/video_generation_500_images/007__erob_237__embodied_robotics__erob_agv_rollup_door_interlock__ref_10.jpg
8,erob_241,embodied_robotics,erob_agv_rollup_door_interlock,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_14.jpg,reports/video_generation_500_images/008__erob_241__embodied_robotics__erob_agv_rollup_door_interlock__ref_14.jpg
9,erob_125,embodied_robotics,erob_amr_charger_smoke_abort,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_01.jpg,reports/video_generation_500_images/009__erob_125__embodied_robotics__erob_amr_charger_smoke_abort__ref_01.jpg
10,erob_146,embodied_robotics,erob_amr_charger_smoke_abort,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_06.jpg,reports/video_generation_500_images/010__erob_146__embodied_robotics__erob_amr_charger_smoke_abort__ref_06.jpg
11,erob_147,embodied_robotics,erob_amr_charger_smoke_abort,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_07.jpg,reports/video_generation_500_images/011__erob_147__embodied_robotics__erob_amr_charger_smoke_abort__ref_07.jpg
12,erob_152,embodied_robotics,erob_amr_charger_smoke_abort,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_09.jpg,reports/video_generation_500_images/012__erob_152__embodied_robotics__erob_amr_charger_smoke_abort__ref_09.jpg
13,erob_154,embodied_robotics,erob_amr_charger_smoke_abort,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_11.jpg,reports/video_generation_500_images/013__erob_154__embodied_robotics__erob_amr_charger_smoke_abort__ref_11.jpg
14,erob_156,embodied_robotics,erob_amr_charger_smoke_abort,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_13.jpg,reports/video_generation_500_images/014__erob_156__embodied_robotics__erob_amr_charger_smoke_abort__ref_13.jpg
15,erob_157,embodied_robotics,erob_amr_charger_smoke_abort,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_14.jpg,reports/video_generation_500_images/015__erob_157__embodied_robotics__erob_amr_charger_smoke_abort__ref_14.jpg
