task_id,review_image,package_image,current_source_image,source_reports
emerg_002,reports/video_generation_500_replacement_review/emerg_002.jpg,reports/video_generation_500_package/images/emerg_002.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_08.jpg,additional_rejected_task_replacements.csv
emerg_054,reports/video_generation_500_replacement_review/emerg_054.jpg,reports/video_generation_500_package/images/emerg_054.jpg,dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_08.jpg,user_deleted_review_replacements.csv
emerg_056,reports/video_generation_500_replacement_review/emerg_056.jpg,reports/video_generation_500_package/images/emerg_056.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_10.jpg,user_deleted_review_replacements.csv
emerg_078,reports/video_generation_500_replacement_review/emerg_078.jpg,reports/video_generation_500_package/images/emerg_078.jpg,dataset/images/extreme_emergency/emerg_crane_load_drop_evacuation/ref_13.jpg,latest_rejected_task_replacements.csv
emerg_091,reports/video_generation_500_replacement_review/emerg_091.jpg,reports/video_generation_500_package/images/emerg_091.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_19.jpg,more_rejected_task_replacements.csv
emerg_092,reports/video_generation_500_replacement_review/emerg_092.jpg,reports/video_generation_500_package/images/emerg_092.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_11.jpg,more_rejected_task_replacements.csv
emerg_133,reports/video_generation_500_replacement_review/emerg_133.jpg,reports/video_generation_500_package/images/emerg_133.jpg,dataset/images/extreme_emergency/emerg_cooling_tower_plume_failure/ref_24.jpg,additional_rejected_task_replacements.csv
emerg_153,reports/video_generation_500_replacement_review/emerg_153.jpg,reports/video_generation_500_package/images/emerg_153.jpg,dataset/images/extreme_emergency/emerg_dust_explosion_confined_space/ref_14.jpg,mixed_rejected_task_replacements.csv
emerg_178,reports/video_generation_500_replacement_review/emerg_178.jpg,reports/video_generation_500_package/images/emerg_178.jpg,dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_10.jpg,mixed_rejected_task_replacements.csv
emerg_212,reports/video_generation_500_replacement_review/emerg_212.jpg,reports/video_generation_500_package/images/emerg_212.jpg,dataset/images/extreme_emergency/emerg_storage_tank_flash_fire/ref_08.jpg,additional_rejected_task_replacements.csv
emerg_231,reports/video_generation_500_replacement_review/emerg_231.jpg,reports/video_generation_500_package/images/emerg_231.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_14.jpg,mixed_rejected_task_replacements.csv
emerg_305,reports/video_generation_500_replacement_review/emerg_305.jpg,reports/video_generation_500_package/images/emerg_305.jpg,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_08.jpg,mixed_rejected_task_replacements.csv
emerg_308,reports/video_generation_500_replacement_review/emerg_308.jpg,reports/video_generation_500_package/images/emerg_308.jpg,dataset/images/extreme_emergency/emerg_dust_explosion_confined_space/ref_18.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
emerg_323,reports/video_generation_500_replacement_review/emerg_323.jpg,reports/video_generation_500_package/images/emerg_323.jpg,dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_09.jpg,user_deleted_review_replacements.csv
erob_024,reports/video_generation_500_replacement_review/erob_024.jpg,reports/video_generation_500_package/images/erob_024.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_06.jpg,rejected_500_image_replacements.csv
erob_027,reports/video_generation_500_replacement_review/erob_027.jpg,reports/video_generation_500_package/images/erob_027.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_12.jpg,latest_rejected_task_replacements.csv
erob_031,reports/video_generation_500_replacement_review/erob_031.jpg,reports/video_generation_500_package/images/erob_031.jpg,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_11.jpg,rejected_500_image_replacements.csv
erob_056,reports/video_generation_500_replacement_review/erob_056.jpg,reports/video_generation_500_package/images/erob_056.jpg,dataset/images/embodied_robotics/erob_agv_rollup_door_interlock/ref_13.jpg,followup_rejected_task_replacements.csv
erob_154,reports/video_generation_500_replacement_review/erob_154.jpg,reports/video_generation_500_package/images/erob_154.jpg,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_10.jpg,latest_rejected_task_replacements.csv
hload_109,reports/video_generation_500_replacement_review/hload_109.jpg,reports/video_generation_500_package/images/hload_109.jpg,dataset/images/heavy_load_construction/hload_tunnel_pipe_burst_mud_surge/ref_04.jpg,followup_rejected_task_replacements.csv
hload_120,reports/video_generation_500_replacement_review/hload_120.jpg,reports/video_generation_500_package/images/hload_120.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_06.jpg,user_deleted_review_replacements.csv
hload_217,reports/video_generation_500_replacement_review/hload_217.jpg,reports/video_generation_500_package/images/hload_217.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_41.jpg,user_deleted_review_replacements.csv
hload_218,reports/video_generation_500_replacement_review/hload_218.jpg,reports/video_generation_500_package/images/hload_218.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_24.jpg,user_deleted_review_replacements.csv
hload_220,reports/video_generation_500_replacement_review/hload_220.jpg,reports/video_generation_500_package/images/hload_220.jpg,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_18.jpg,additional_rejected_task_replacements.csv
hload_226,reports/video_generation_500_replacement_review/hload_226.jpg,reports/video_generation_500_package/images/hload_226.jpg,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_11.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
hload_227,reports/video_generation_500_replacement_review/hload_227.jpg,reports/video_generation_500_package/images/hload_227.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_10.jpg,user_deleted_review_replacements.csv
hload_228,reports/video_generation_500_replacement_review/hload_228.jpg,reports/video_generation_500_package/images/hload_228.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_18.jpg,user_deleted_review_replacements.csv
hload_230,reports/video_generation_500_replacement_review/hload_230.jpg,reports/video_generation_500_package/images/hload_230.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_11.jpg,user_deleted_review_replacements.csv
hload_231,reports/video_generation_500_replacement_review/hload_231.jpg,reports/video_generation_500_package/images/hload_231.jpg,dataset/images/heavy_load_construction/hload_sling_angle_center_of_gravity/ref_16.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
hload_233,reports/video_generation_500_replacement_review/hload_233.jpg,reports/video_generation_500_package/images/hload_233.jpg,dataset/images/heavy_load_construction/hload_gantry_wind_disturbance/ref_19.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
hload_235,reports/video_generation_500_replacement_review/hload_235.jpg,reports/video_generation_500_package/images/hload_235.jpg,dataset/images/heavy_load_construction/hload_dual_crawler_crane_lift/ref_04.jpg,user_deleted_review_replacements.csv
hload_236,reports/video_generation_500_replacement_review/hload_236.jpg,reports/video_generation_500_package/images/hload_236.jpg,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_12.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
